"id";"Random.Number";"Amendment";"Abbreviation";"Nfactors";"whc";"wsa";"pH";"ng_reaction";"Cng_bac";"Cng_fun";"ratio"
"MA_1";1;"Straw";"SW";"1";65,36;62,69592476;6,37;0,74;87307,42;2899,03;30,12
"MA_2";2;"Control";"CON";"0";52,26;53,31010453;6,13;0,7;72759,21;779,18;93,38
"MA_3";3;"Microbial wash";"M";"1";43,34;38,97763578;6,22;0,57;79975,11;988,87;80,88
"MA_4";4;"Straw";"SW";"1";48,17;72,63513514;6,5;0,65;92161,66;1882,48;48,96
"MA_5";5;"Compost";"C";"1";56,2;33,2278481;6,69;0,55;75665,25;809,92;93,42
"MA_6";6;"5 Factors";"SLMSWBC";"5";NA;77,96610169;6,42;0,71;109724,09;2995,66;36,63
"MA_7";7;"Control";"CON";"0";47,68;49,12891986;6,07;0,52;83746,62;880,68;95,09
"MA_8";8;"3 Factors";"SLCSW";"3";57,26;53,49544073;6,12;0,65;97507,02;4877,74;19,99
"MA_9";9;"3 Factors";"BSWM";"3";51,83;71,886121;6,33;0,65;83901,44;3340,1;25,12
"MA_10";10;"Straw";"SW";"1";60,52;69,77491961;6,37;0,66;76138,55;2411,82;31,57
"MA_11";11;"Control";"CON";"0";NA;49,0625;6,1;0,64;72096,92;1480,41;48,7
"MA_12";12;"Silica";"SIL";"1";47,71;54,88215488;5,85;0,74;71795,75;1397,58;51,37
"MA_13";13;"Biochar";"B";"1";49,19;42,4437299;6,66;0,71;66030,2;1444,75;45,7
"MA_14";14;"Compost";"C";"1";43,15;41,40127389;6,37;0,75;72452,86;1189,54;60,91
"MA_15";15;"Biochar";"B";"1";49,06;60,45751634;6,51;0,75;66710,6;1264,09;52,77
"MA_16";16;"Compost";"C";"1";45,86;47,11538462;6,33;0,58;96626,45;2007,74;48,13
"MA_17";17;"Silica";"SIL";"1";48,78;62,41830065;6,04;0,66;104719,82;1762,44;59,42
"MA_18";18;"Straw";"SW";"1";58,36;68,15286624;7,07;0,61;92300,86;2210,31;41,76
"MA_19";19;"Compost";"C";"1";48,28;60,85526316;6,49;0,82;98230,62;1585,07;61,97
"MA_20";20;"Microbial wash";"M";"1";43,55;59,86842105;6,26;0,65;82852,74;1355,87;61,11
"MA_21";21;"Biochar";"B";"1";48,05;55,19480519;6,35;0,8;92622,46;1483,94;62,42
"MA_22";22;"Compost";"C";"1";48,28;64,79750779;6,41;0,74;82550,05;965,95;85,46
"MA_23";23;"Biochar";"B";"1";49,6;61,20401338;6,35;0,7;71849,1;1054,5;68,14
"MA_24";24;"3 Factors";"CSWM";"3";53,52;68,55345912;6,13;0,68;83092,4;2435,4;34,12
"MA_25";25;"3 Factors";"SLCM";"3";43,88;48,61538462;6,32;0,69;60965,88;1203,4;50,66
"MA_26";26;"Control";"CON";"0";48,54;66,66666667;6,39;0,64;74440,16;1513,44;49,19
"MA_27";27;"Microbial wash";"M";"1";45,52;48,90965732;6,25;0,69;71338,57;1568,21;45,49
"MA_28";28;"Silica";"SIL";"1";41,99;61,46788991;5,77;0,74;83880,69;1658,01;50,59
"MA_29";29;"Control Biochar";"CON BBB";"1";NA;58,84353741;6,52;0,72;101374,64;1683,79;60,21
"MA_30";30;"Control";"CON";"0";47,35;51,94805195;6,21;0,73;96907,88;1707,48;56,75
NA;31;"3 Factors";"BCSL";"3";51,99;66,99029126;6,14;NA;NA;NA;NA
"MA_32";32;"Control Biochar";"CON BBB";"1";49,27;57,59717314;6,73;0,74;63198,08;1667,89;37,89
"MA_33";33;"3 Factors";"BSLM";"3";53,98;48,92966361;6,11;0,73;86781,46;1620,03;53,57
"MA_34";34;"Compost";"C";"1";54,33;52,09003215;6,33;0,28;113675,01;2371,1;47,94
"MA_35";35;"Biochar";"B";"1";52,62;56,89655172;6,75;0,71;64372,97;1171,31;54,96
