"","Sample","treatment","drought","whc","replicate","rep_cat"
"1","92","cu",1,"90","a",0
"2","25","cu",2,"85","a",0
"3","8","cu",3,"80","a",0
"4","209","cu",4,"75","a",0
"5","282","cu",5,"70","a",0
"6","69","cu",6,"65","a",0
"7","100","cu",7,"60","a",0
"8","122","cu",8,"55","a",0
"9","306","cu",9,"50","a",0
"10","17","cu",10,"45","a",0
"11","134","cu",11,"40","a",0
"12","81","cu",12,"35","a",0
"13","43","cu",13,"30","a",4
"14","166","cu",14,"25","a",4
"15","311","cu",15,"20","a",0
"16","266","cu",1,"90","b",0
"17","275","cu",2,"85","b",0
"18","288","cu",3,"80","b",0
"19","51","cu",4,"75","b",0
"20","218","cu",5,"70","b",0
"21","149","cu",6,"65","b",0
"22","90","cu",7,"60","b",0
"23","261","cu",8,"55","b",0
"24","131","cu",9,"50","b",0
"25","118","cu",10,"45","b",0
"26","125","cu",11,"40","b",0
"27","307","cu",12,"35","b",4
"28","10","cu",13,"30","b",0
"29","181","cu",14,"25","b",8
"30","108","cu",15,"20","b",4
"31","315","cu",1,"90","c",0
"32","114","cu",2,"85","c",0
"33","309","cu",3,"80","c",0
"34","59","cu",4,"75","c",0
"35","80","cu",5,"70","c",0
"36","130","cu",6,"65","c",0
"37","28","cu",7,"60","c",0
"38","211","cu",8,"55","c",0
"39","19","cu",9,"50","c",0
"40","242","cu",10,"45","c",0
"41","148","cu",11,"40","c",0
"42","226","cu",12,"35","c",0
"43","197","cu",13,"30","c",0
"44","32","cu",14,"25","c",4
"45","294","cu",15,"20","c",8
"46","292","con",1,"90","a",0
"47","298","con",2,"85","a",0
"48","178","con",3,"80","a",0
"49","214","con",4,"75","a",0
"50","102","con",5,"70","a",0
"51","105","con",6,"65","a",0
"52","152","con",7,"60","a",0
"53","241","con",8,"55","a",0
"54","157","con",9,"50","a",0
"55","225","con",10,"45","a",4
"56","251","con",11,"40","a",0
"57","300","con",12,"35","a",0
"58","212","con",13,"30","a",0
"59","290","con",14,"25","a",4
"60","84","con",15,"20","a",4
"61","286","con",1,"90","b",0
"62","77","con",2,"85","b",0
"63","27","con",3,"80","b",0
"64","20","con",4,"75","b",0
"65","199","con",5,"70","b",0
"66","179","con",6,"65","b",0
"67","135","con",7,"60","b",0
"68","274","con",8,"55","b",0
"69","314","con",9,"50","b",0
"70","271","con",10,"45","b",0
"71","119","con",11,"40","b",0
"72","140","con",12,"35","b",0
"73","249","con",13,"30","b",4
"74","88","con",14,"25","b",0
"75","9","con",15,"20","b",4
"76","228","con",1,"90","c",0
"77","230","con",2,"85","c",0
"78","269","con",3,"80","c",0
"79","272","con",4,"75","c",0
"80","67","con",5,"70","c",0
"81","183","con",6,"65","c",0
"82","155","con",7,"60","c",0
"83","41","con",8,"55","c",0
"84","279","con",9,"50","c",0
"85","259","con",10,"45","c",0
"86","219","con",11,"40","c",0
"87","237","con",12,"35","c",0
"88","124","con",13,"30","c",0
"89","64","con",14,"25","c",0
"90","189","con",15,"20","c",4
